rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
348,33161,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,OVA,1,2016,91417,8.18
349,25013,Akatsuki no Yona,TV,24,2014,373357,8.17
350,1974,Glass no Kamen (2005),TV,51,2005,23565,8.17
351,731,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,TV,13,2017,411157,8.17
353,3927,Mobile Suit Gundam 00 Second Season,TV,25,2008,106801,8.17
354,47,Akira,Movie,1,1988,345220,8.16
355,3167,Eve no Jikan,ONA,6,2008,126836,8.16
356,2449,Ghost in the Shell: Stand Alone Complex - The Laughing Man,Special,1,2005,29516,8.16
357,3016,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,Movie,1,1993,18188,8.16
358,135,Hikaru no Go,TV,75,2001,88724,8.16
359,186,Initial D Second Stage,TV,13,1999,81615,8.16
360,34626,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,OVA,1,2017,106152,8.16
361,2034,Lovely★Complex,TV,24,2007,320805,8.16
362,1914,Saiunkoku Monogatari 2nd Season,TV,39,2007,28678,8.16
363,29831,Tamayura: Sotsugyou Shashin Part 4 - Ashita,Movie,1,2016,5455,8.16
364,5365,Tsumiki no Ie,Movie,1,2008,62585,8.16
365,1382,Yuusha-Ou GaoGaiGar Final,OVA,8,2000,6287,8.16
366,30370,Akatsuki no Yona OVA,OVA,3,2015,59801,8.15
367,27663,Baby Steps 2nd Season,TV,25,2015,56207,8.15
368,2759,Evangelion: 1.0 You Are (Not) Alone,Movie,1,2007,266213,8.15
369,7465,Eve no Jikan (Movie),Movie,1,2010,87607,8.15
370,16918,Gin no Saji,TV,11,2013,171310,8.15
371,25313,Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,Special,1,2015,21357,8.15
372,12189,Hyouka,TV,22,2012,582249,8.15
373,15059,Initial D Fifth Stage,TV,14,2012,52712,8.15
374,1486,Kodomo no Omocha (TV),TV,102,1996,36765,8.15
375,28725,Kokoro ga Sakebitagatterunda.,Movie,1,2015,143290,8.15
376,31174,Osomatsu-san,TV,25,2015,104919,8.15
377,12477,Sakasama no Patema,Movie,1,2013,150992,8.15
378,32995,Yuri!!! on Ice,TV,12,2016,313790,8.15
379,34440,Code Geass: Hangyaku no Lelouch III - Oudou,Movie,1,2018,29130,8.14
380,1482,D.Gray-man,TV,103,2006,448058,8.14
381,2164,Dennou Coil,TV,26,2007,100899,8.14
