rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
348,33161,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,OVA,1,2,91417,8.1
349,25013,Akatsuki no Yona,TV,24,2,373357,8.1
350,1974,Glass no Kamen (2005),TV,51,2,23565,8.1
351,731,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,TV,13,2,411157,8.1
353,3927,Mobile Suit Gundam 00 Second Season,TV,25,2,106801,8.1
354,47,Akira,Movie,1,1,345220,8.1
355,3167,Eve no Jikan,ONA,6,2,126836,8.1
356,2449,Ghost in the Shell: Stand Alone Complex - The Laughing Man,Special,1,2,29516,8.1
357,3016,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,Movie,1,1,18188,8.1
358,135,Hikaru no Go,TV,75,2,88724,8.1
359,186,Initial D Second Stage,TV,13,1,81615,8.1
360,34626,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,OVA,1,2,106152,8.1
361,2034,Lovely★Complex,TV,24,2,320805,8.1
362,1914,Saiunkoku Monogatari 2nd Season,TV,39,2,28678,8.1
363,29831,Tamayura: Sotsugyou Shashin Part 4 - Ashita,Movie,1,2,5455,8.1
364,5365,Tsumiki no Ie,Movie,1,2,62585,8.1
365,1382,Yuusha-Ou GaoGaiGar Final,OVA,8,2,6287,8.1
366,30370,Akatsuki no Yona OVA,OVA,3,2,59801,8.1
367,27663,Baby Steps 2nd Season,TV,25,2,56207,8.1
368,2759,Evangelion: 1.0 You Are (Not) Alone,Movie,1,2,266213,8.1
369,7465,Eve no Jikan (Movie),Movie,1,2,87607,8.1
370,16918,Gin no Saji,TV,11,2,171310,8.1
371,25313,Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,Special,1,2,21357,8.1
372,12189,Hyouka,TV,22,2,582249,8.1
373,15059,Initial D Fifth Stage,TV,14,2,52712,8.1
374,1486,Kodomo no Omocha (TV),TV,102,1,36765,8.1
375,28725,Kokoro ga Sakebitagatterunda.,Movie,1,2,143290,8.1
376,31174,Osomatsu-san,TV,25,2,104919,8.1
377,12477,Sakasama no Patema,Movie,1,2,150992,8.1
378,32995,Yuri!!! on Ice,TV,12,2,313790,8.1
379,34440,Code Geass: Hangyaku no Lelouch III - Oudou,Movie,1,2,29130,8.1
380,1482,D.Gray-man,TV,103,2,448058,8.1
381,2164,Dennou Coil,TV,26,2,100899,8.1
382,223,Dragon Ball,TV,153,1,483683,8.1
383,72,Full Metal Panic? Fumoffu,TV,12,2,214378,8.1
384,10643,Gintama: Dai Hanseikai,Special,1,2,20967,8.1
385,35110,Haikyuu!! Movie 3: Sainou to Sense,Movie,1,2,13530,8.1
386,7791,K-On!!,TV,26,2,346574,8.1
387,3783,Kara no Kyoukai 3: Tsuukaku Zanryuu,Movie,1,2,142614,8.1
388,237,Koukyoushihen Eureka Seven,TV,50,2,323014,8.1
389,20507,Noragami,TV,12,2,940334,8.1
390,6171,Saint Seiya: The Lost Canvas - Meiou Shinwa,OVA,13,2,60554,8.1
391,20371,Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,Movie,1,2,35615,8.1
392,6211,Tokyo Magnitude 8.0,TV,11,2,172681,8.1
393,4918,xxxHOLiC Shunmuki,OVA,2,2,49315,8.1
394,34376,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku,Movie,1,2,7834,8.1
395,34438,Code Geass: Hangyaku no Lelouch I - Koudou,Movie,1,2,35575,8.1
396,781,Detective Conan Movie 03: The Last Wizard of the Century,Movie,1,1,37223,8.1
397,1363,Detective Conan Movie 04: Captured in Her Eyes,Movie,1,2,35352,8.1
398,23289,Gekkan Shoujo Nozaki-kun,TV,12,2,455019,8.1
